"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.047625000E-3,-2.453398132E0,5.855223999E0,6.906038818E0
1.411062502E-2,-2.420017548E0,5.569917297E0,4.198020172E0
2.417262504E-2,-2.762355652E0,5.333708496E0,2.429897003E0
3.423562495E-2,-3.055296478E0,5.240452423E0,2.113155670E0
4.429862497E-2,-3.060685272E0,5.311404877E0,2.950364685E0
5.436162499E-2,-2.818488922E0,5.267695770E0,4.620890808E0
6.442462502E-2,-2.550695801E0,5.168152771E0,6.767277374E0
7.448662503E-2,-2.420765991E0,5.110971680E0,8.657995605E0
8.454962505E-2,-2.406695251E0,5.108876038E0,1.003138962E1
9.461262496E-2,-2.470762024E0,4.811294861E0,1.094673615E1
1.046756250E-1,-2.748284912E0,4.014202423E0,1.077953384E1
1.147386250E-1,-2.117197266E0,3.707340546E0,8.854237518E0
1.248016250E-1,-2.260000305E0,2.844983826E0,6.688241730E0
1.348636250E-1,-3.312761078E0,1.645827484E0,5.093158722E0
1.449266250E-1,-4.374203796E0,8.249345398E-1,3.886517944E0
1.549896250E-1,-5.224735107E0,1.032552795E0,4.921615448E0
1.650526250E-1,-5.201383667E0,1.600621490E0,7.666008453E0
1.751156250E-1,-4.691992950E0,2.639012146E0,9.517508240E0
1.851786250E-1,-3.625610504E0,2.722987518E0,1.049467621E1
1.952406249E-1,-3.341052246E0,2.846630402E0,1.216445389E1
2.053036250E-1,-3.057242432E0,2.050286407E0,1.359472961E1
2.153666250E-1,-2.406844940E0,-6.481521606E-2,1.321721466E1
2.254296250E-1,-1.168619843E0,-1.082698517E0,1.152169052E1
2.354926250E-1,-6.830296326E-1,-2.567161560E0,8.706794128E0
2.455546251E-1,-7.140151978E-1,-4.517156525E0,8.565937042E0
2.556176250E-1,8.542735291E-1,-5.191504211E0,1.019978943E1
2.656806250E-1,1.021775208E0,-5.210814056E0,7.611222382E0
2.757436250E-1,-8.373587036E-1,-5.033133545E0,6.906787262E0
2.858066250E-1,-6.139183502E0,-4.870870972E0,7.823630676E0
2.958696251E-1,-1.011162277E1,-4.033362579E0,6.305637360E0
3.059326250E-1,-5.594615936E0,-1.987267456E0,4.960235138E0
3.159946250E-1,-2.322869568E0,-1.584155731E0,4.212240601E0
3.260576250E-1,-4.117936707E-1,-1.634301453E0,4.728217621E0
3.361206250E-1,1.714534607E0,-1.362167358E-1,7.452252960E0
3.461836250E-1,2.562670898E0,5.327421570E-1,1.165042282E1
3.562466250E-1,2.357148285E0,8.397537231E-1,1.189890610E1
3.663086250E-1,2.931503906E0,1.890867920E0,1.005578888E1
3.763716250E-1,4.035757599E0,5.195545807E0,1.453013443E1
3.864346250E-1,3.331322479E0,7.413034515E0,1.026340714E1
3.964976250E-1,4.881648560E0,5.504054260E0,1.080318466E1
4.065606249E-1,5.459746399E0,2.699935455E0,8.914711761E0
4.166236250E-1,4.705914001E0,2.918930054E-1,7.969876556E0
4.266856250E-1,4.084705811E0,-2.986289978E-1,7.446415100E0
4.367486250E-1,3.260519714E0,-3.436853027E-1,6.858138428E0
4.468116250E-1,2.411335602E0,-1.050814819E-1,6.126160583E0
4.568746251E-1,2.060614929E0,-7.250921631E-1,4.259841614E0
4.669376250E-1,2.697989502E0,-1.991907806E0,-2.150428162E0
4.770006250E-1,3.497327271E0,-3.266357574E0,-4.778962097E0
4.870626250E-1,4.956193542E0,-9.635462952E-1,-1.915865936E0
4.971256250E-1,6.512357483E0,3.633244629E0,6.466552734E-1
5.071886251E-1,6.708898773E0,4.581522675E0,2.575544128E0
5.172516250E-1,6.154152374E0,6.649172974E-1,3.270548859E0
5.273146250E-1,5.396877136E0,-3.191064148E0,3.005899200E0
5.373776250E-1,4.345313873E0,-4.475243683E0,1.998194733E0
5.474396250E-1,3.150947571E0,-5.006339264E0,-2.170486450E-2
5.575026250E-1,2.346969452E0,-5.972879333E0,-1.647174683E0
5.675656250E-1,2.297871552E0,-6.969357147E0,-2.156116333E0
5.776286250E-1,2.987337799E0,-7.983797607E0,-1.769769745E0
5.876916250E-1,4.619393921E0,-8.922046509E0,-6.891668701E-1
5.977536250E-1,7.651039581E0,-8.958271179E0,1.374741211E0
6.078166250E-1,1.106888214E1,-8.186476135E0,3.318000183E0
6.178796251E-1,1.387674316E1,-6.994953918E0,4.595743103E0
6.279426250E-1,1.568782700E1,-5.530848541E0,5.162314911E0
6.380056250E-1,1.653581360E1,-4.297712860E0,5.897885284E0
6.480686250E-1,1.644615005E1,-3.854634247E0,6.628066864E0
6.581306250E-1,1.787912018E1,-4.143832855E0,6.212980042E0
6.681936251E-1,2.011981064E1,-4.527035980E0,6.411616974E0
6.782566250E-1,2.202100708E1,-4.578079834E0,6.092480621E0
6.883196250E-1,2.395887726E1,-3.362008667E0,4.915627899E0
6.983826250E-1,2.461840576E1,-1.918560333E0,3.232378235E0
7.084456250E-1,2.458756989E1,-1.228345642E0,7.911048889E-1
7.185076250E-1,2.407713135E1,-1.517244873E0,-1.206042023E0
7.285706250E-1,2.326372284E1,-2.139949951E0,-1.801653442E0
7.386336250E-1,2.220183105E1,-2.796484680E0,-1.866169281E0
7.486966250E-1,2.121074203E1,-3.335663452E0,-1.631157990E0
7.587596250E-1,2.064312241E1,-3.477568359E0,-1.150208130E0
7.688226250E-1,2.013253418E1,-3.208128662E0,-1.611399078E0
7.788846249E-1,1.923709625E1,-2.590812378E0,-2.685415649E0
7.889476250E-1,1.853415802E1,-2.048939209E0,-3.393592987E0
7.990106250E-1,1.822026077E1,-1.551972656E0,-4.206402740E0
8.090736250E-1,1.786864197E1,-8.396040344E-1,-4.271816711E0
8.191366250E-1,1.748618729E1,-5.538482666E-3,-4.292623444E0
8.291986251E-1,1.668205948E1,4.499642944E-1,-4.796026611E0
8.392618750E-1,1.510733414E1,1.017883301E-1,-5.553002472E0
8.493248750E-1,1.302561310E1,-6.743476868E-1,-6.253246307E0
8.593878750E-1,1.072804092E1,-1.406325531E0,-7.150181122E0
8.694508750E-1,1.015697845E1,-1.422641602E0,-5.562582550E0
8.795138750E-1,9.972412262E0,-1.300944672E0,-2.401905212E0
8.895758750E-1,9.215885468E0,-2.040257263E0,-1.178499298E0
8.996388750E-1,8.172405396E0,-2.960842896E0,-2.060165863E0
9.097018749E-1,6.040239258E0,-3.811074829E0,-2.547402649E0
9.197648750E-1,5.209915924E0,-3.747906189E0,-2.279908905E0
9.298278750E-1,5.705984344E0,-3.272794189E0,-1.062490540E0
9.398908750E-1,6.483617249E0,-2.630928955E0,-2.270777893E-1
9.499528750E-1,6.597680054E0,-1.816772003E0,6.854246521E-1
9.600158751E-1,5.818101196E0,-1.479673004E0,1.167572021E0
9.700788750E-1,4.589456177E0,-1.834435272E0,1.302291870E0
9.801418750E-1,3.860172729E0,-2.706222382E0,5.358856201E-1
9.902048750E-1,3.864064636E0,-2.984942780E0,1.421743469E0
1.000267875E0,4.314777374E0,-3.017874298E0,2.809208221E0
1.010329875E0,5.216202850E0,-3.137026520E0,3.376977539E0
1.020392875E0,6.684349823E0,-3.218157806E0,2.974015503E0
1.030455875E0,7.866890717E0,-3.196602631E0,2.831511841E0
1.040518875E0,7.882308655E0,-2.815345459E0,2.695744171E0
1.050581875E0,7.742050323E0,-2.760110321E0,1.159339142E0
1.060643875E0,8.116122437E0,-3.323089600E0,-2.823129272E-1
1.070706875E0,7.279811554E0,-4.441863098E0,-1.197659454E0
1.080769875E0,5.167853394E0,-5.458548889E0,-1.911524963E0
1.090832875E0,6.284531250E0,-5.923182678E0,-3.028202820E-1
1.100895875E0,6.321354675E0,-6.228847046E0,-3.893403625E-1
1.110958875E0,6.530469818E0,-5.107828217E0,-7.475454712E-1
1.121020875E0,6.433471527E0,-5.772595825E0,-7.173083496E-1
1.131083875E0,7.464976501E0,-7.907905426E0,1.035995636E0
1.141146875E0,7.997868347E0,-8.897048492E0,6.283932495E-1
1.151209875E0,8.045768738E0,-9.080417175E0,-3.387455750E-1
1.161272875E0,7.409292297E0,-9.215586090E0,-1.005159760E0
1.171335875E0,8.956025848E0,-9.087302856E0,-1.484762421E0
1.181397875E0,9.664203186E0,-8.189170532E0,-1.310674438E0
1.191460875E0,9.410031738E0,-5.004842377E0,-6.963519287E-1
1.201523875E0,9.051227875E0,-2.608325958E0,-1.194515991E0
1.211586875E0,9.316925354E0,-2.655627594E0,4.580474854E-1
1.221649875E0,9.398805084E0,-3.299738159E0,1.245559845E0
1.231711875E0,9.172924805E0,-5.013224945E0,6.536906433E-1
1.241774875E0,7.892337799E0,-6.684948578E0,-5.522016907E-1
1.251837875E0,6.678661652E0,-9.154363403E0,-1.403032379E0
1.261900875E0,5.517077179E0,-1.138038437E1,-8.472381592E-1
1.271963875E0,4.270768890E0,-1.200698135E1,-4.430786133E-1
1.282026875E0,4.246669006E0,-1.139670044E1,-2.845582581E-1
1.292088875E0,4.595294037E0,-1.053868469E1,-6.424639893E-1
1.302151875E0,4.617897034E0,-9.650880890E0,-1.721569977E0
1.312214875E0,6.346053314E0,-2.623594208E0,-1.549278259E0
1.322277875E0,5.843398590E0,9.897418213E-1,-3.720064087E0
1.332340875E0,3.134930878E0,-3.136278076E0,-3.770060120E0
1.342403875E0,2.815794525E0,-5.004692688E0,-5.607339478E-1
1.352465875E0,3.413351898E0,-6.450236664E0,1.323847046E0
1.362528875E0,3.211272125E0,-8.227191467E0,1.570084991E0
1.372591875E0,3.090922394E0,-8.611891479E0,2.163002014E-1
1.382654875E0,3.521726532E0,-1.101080292E1,1.398541718E0
1.392717875E0,3.453169098E0,-1.135373978E1,-6.631210327E-1
1.402780875E0,3.382516022E0,-9.927954712E0,-1.991309052E0
1.412842875E0,2.740201721E0,-9.905651093E0,-1.898202667E0
1.422905875E0,2.650089111E0,-9.962832184E0,-1.791025543E0
1.432968875E0,3.004851379E0,-1.065604065E1,-7.415579224E-1
1.443031875E0,2.824027405E0,-9.147926788E0,-8.301736450E-1
1.453094875E0,1.075663147E0,-5.683680725E0,-1.496587830E0
1.463156875E0,1.811233521E-1,-4.253255310E0,1.467248840E0
1.473219875E0,7.650590515E-1,-4.422403564E0,2.898422699E0
1.483282875E0,1.301393738E0,-4.328848114E0,3.039878540E0
1.493345875E0,1.109343109E0,-4.142335968E0,1.844464417E0
1.503408875E0,4.535568237E-1,-3.682342529E0,-9.729766846E-2
1.513471875E0,6.421646118E-2,-3.061733093E0,1.859133911E-1
1.523533875E0,-6.427633667E-1,-3.446433105E0,2.000739441E0
1.533596875E0,-1.009500732E0,-3.594924316E0,1.819167023E0
1.543659875E0,-1.207239532E0,-3.851191406E0,2.766097870E0
1.553722875E0,-1.392404480E0,-3.960164795E0,2.245480499E0
1.563785875E0,-4.013004913E0,-1.453028412E1,2.705174561E0
1.573848875E0,-1.406550064E1,-4.365387131E1,4.840484161E0
1.583910875E0,-1.228854584E1,-4.701094025E1,1.684297485E0
1.593973875E0,-2.443967743E0,-2.979179764E1,-7.153324585E0
1.604036875E0,3.096610565E0,-1.583976105E1,-2.068997498E0
1.614099875E0,2.419718170E0,-8.811127167E0,5.261259155E0
1.624162875E0,2.960842896E-1,-7.723937988E0,3.398083649E0
1.634225875E0,-1.078507233E0,-7.804620209E0,5.950126648E-1
1.644287875E0,-1.938468933E0,-8.041577454E0,5.409750366E-1
1.654350875E0,-2.131417694E0,-8.086334381E0,8.402027893E-1
1.664413875E0,-1.657802582E0,-8.128097534E0,3.739224243E-1
1.674476875E0,-1.432071991E0,-9.332193604E0,-6.628216553E-1
1.684539875E0,-1.447340240E0,-1.029274612E1,-6.827302551E-1
1.694601875E0,-1.427132263E0,-1.090347610E1,1.062789917E-2
1.704664875E0,-1.448687439E0,-1.123832977E1,4.487667847E-1
1.714727875E0,-1.311422882E0,-1.110929810E1,5.623805237E-1
1.724790875E0,-1.241817627E0,-1.097487762E1,5.665718079E-1
1.734853875E0,-1.203347626E0,-1.077639038E1,5.769003296E-1
1.744916875E0,-1.182989960E0,-1.067460205E1,3.284170532E-1
1.754978875E0,-1.216819611E0,-1.059826080E1,1.368154907E-1
1.765041875E0,-1.263073425E0,-1.074974579E1,1.996847534E-1
1.775104875E0,-1.263522491E0,-1.062745010E1,6.481521606E-2
1.785167875E0,-1.287472687E0,-1.051174072E1,-4.014651489E-1
1.795230875E0,-1.397793274E0,-1.072355026E1,-7.982899475E-1
1.805293875E0,-1.440753937E0,-1.096874039E1,-1.143023071E0
1.815355875E0,-1.454824677E0,-1.119342316E1,-1.462458801E0
1.825418875E0,-1.443448334E0,-1.132559830E1,-1.872007141E0
1.835481125E0,-1.351689148E0,-1.122366028E1,-2.492915955E0
1.845544125E0,-1.161285095E0,-1.081022003E1,-3.088826752E0
1.855607125E0,-9.684860229E-1,-1.008303223E1,-3.281326447E0
1.865670125E0,-7.134164429E-1,-9.009315033E0,-3.188519440E0
1.875732125E0,-2.344125366E-1,-7.613767090E0,-3.698658600E0
1.885795125E0,1.743873596E-1,-6.195466461E0,-3.382965088E0
1.895858125E0,-2.926414490E-1,-4.936135254E0,6.533912659E-1
1.905921125E0,-1.311422882E0,-3.883973236E0,2.472707977E0
1.915984125E0,-1.535955963E0,-3.171454926E0,9.077124023E-1
1.926047125E0,-1.615440674E0,-2.639461212E0,-9.991722107E-1
1.936109125E0,-2.126777344E0,-1.724264374E0,-2.514471130E0
1.946172125E0,-2.589614868E0,-1.039887543E0,-4.296964417E0
1.956235125E0,-1.973346405E0,-7.220983887E-1,-5.388644257E0
1.966298125E0,-5.225633240E-1,-6.342311096E-1,-4.789889374E0
1.976361125E0,3.707789612E-1,-2.190694427E0,-3.502266998E0
1.986423125E0,7.815248108E-1,-5.132526855E0,-5.881569214E0
1.996486125E0,2.225422211E0,-7.828420715E0,-9.066795502E0
2.006549125E0,3.295397186E0,-1.056113800E1,-3.872447205E0
2.016612125E0,3.046015778E0,-1.157318344E1,1.130449219E0
2.026675125E0,3.084785156E0,-1.179038177E1,-1.069675598E0
2.036738125E0,2.593207397E0,-1.136616394E1,-1.313817902E0
2.046800125E0,2.202370148E0,-1.083955902E1,-1.821861420E0
2.056863125E0,2.241289215E0,-9.816436615E0,-3.665876770E0
2.066926125E0,1.994153137E0,-9.419911194E0,-4.864284668E0
2.076989125E0,1.658551025E0,-1.022523651E1,-4.281845856E0
2.087052125E0,6.161187744E-1,-1.222298218E1,-3.632645874E0
2.097115125E0,-9.669891357E-1,-1.413151337E1,-2.575394440E0
2.107177125E0,-2.357597351E0,-1.663625473E1,-2.995420990E0
2.117240125E0,-3.050805817E0,-1.909938263E1,-6.100414124E0
