Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
1.343908300E-2,-2.43E+00,2.182049990E0,9.268050194E0
1.739531400E-2,-3.22E+00,2.872050047E0,7.602000237E0
2.135108300E-2,-3.03E+00,2.776050091E0,7.812000275E0
2.530678500E-2,-3.03E+00,2.814000130E0,7.792950153E0
2.926247700E-2,-3.03E+00,2.794950247E0,7.831050396E0
3.321840100E-2,-2.95E+00,2.737950087E0,7.851000309E0
3.717464000E-2,-2.72E+00,2.431050062E0,7.927050591E0
4.113094800E-2,-2.72E+00,2.641950130E0,7.966050148E0
4.508756300E-2,-2.83E+00,2.814000130E0,7.945950508E0
4.904381800E-2,-2.85E+00,2.910000086E0,7.966050148E0
5.300028000E-2,-2.85E+00,2.910000086E0,7.945950508E0
5.695697200E-2,-2.91E+00,3.006000042E0,7.927050591E0
6.091346300E-2,-2.93E+00,3.121050119E0,7.945950508E0
6.486923200E-2,-3.03E+00,3.235950232E0,7.927050591E0
6.882500100E-2,-2.99E+00,3.255000114E0,7.870050430E0
7.278117400E-2,-2.97E+00,3.217050076E0,7.755000591E0
7.673755900E-2,-2.79E+00,3.139950037E0,7.717050552E0
8.069371200E-2,-2.70E+00,3.121050119E0,7.621050358E0
8.465034200E-2,-2.57E+00,3.082950115E0,7.582950592E0
8.860672600E-2,-2.51E+00,3.043950081E0,7.429050446E0
9.256303400E-2,-2.53E+00,3.006000042E0,7.353000164E0
9.651928900E-2,-2.49E+00,3.006000042E0,7.257000446E0
1.004760580E-1,-2.57E+00,3.063000202E0,7.180050373E0
1.044325970E-1,-2.62E+00,3.139950037E0,7.200000286E0
1.083889240E-1,-2.62E+00,3.217050076E0,7.141950130E0
1.123456170E-1,-2.62E+00,3.331050158E0,7.045950413E0
1.163019240E-1,-2.60E+00,3.427050114E0,7.123050213E0
1.202584050E-1,-2.55E+00,3.465000153E0,7.104000568E0
1.242146360E-1,-2.49E+00,3.465000153E0,7.084950447E0
1.281717130E-1,-2.45E+00,3.523050070E0,7.161000252E0
1.321287800E-1,-2.43E+00,3.541950226E0,7.180050373E0
1.360853180E-1,-2.53E+00,3.217050076E0,7.200000286E0
1.400412410E-1,-2.53E+00,3.217050076E0,7.141950130E0
1.439972550E-1,-2.49E+00,3.331050158E0,7.084950447E0
1.479534860E-1,-2.60E+00,3.351000071E0,7.180050373E0
1.519099470E-1,-2.68E+00,3.274050236E0,7.468050480E0
1.558663420E-1,-2.64E+00,3.235950232E0,7.563000202E0
1.598225730E-1,-2.89E+00,3.427050114E0,7.755000591E0
1.637784190E-1,-3.06E+00,3.637950182E0,7.831050396E0
1.677345830E-1,-3.14E+00,3.657000065E0,7.851000309E0
1.716902750E-1,-3.14E+00,3.619050264E0,7.888950348E0
1.756465060E-1,-3.12E+00,3.676050186E0,7.984950542E0
