"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.565500163E-3,-3.552263031E0,2.187550964E0,9.264833679E0
8.435499854E-3,-3.515140228E0,1.826501770E0,8.888516235E0
1.843649987E-2,-3.278482361E0,1.743873596E0,8.572074280E0
2.843749989E-2,-3.444038086E0,1.764830017E0,8.852141876E0
3.843949968E-2,-3.581152954E0,1.822759552E0,8.947643280E0
4.844049970E-2,-3.605252838E0,2.063009949E0,8.983119507E0
5.844149971E-2,-3.698059845E0,2.505938873E0,8.975934448E0
6.844349997E-2,-3.595373383E0,2.863096161E0,8.740923157E0
7.844449999E-2,-3.494632874E0,2.924019470E0,8.599467316E0
8.844550001E-2,-3.598217468E0,2.596500549E0,8.717871094E0
9.844749980E-2,-3.435356140E0,2.055525513E0,8.989406433E0
1.084484998E-1,-3.360811157E0,1.597328339E0,8.972192230E0
1.184494998E-1,-3.381468201E0,1.611548767E0,8.615783386E0
1.284515001E-1,-3.412603455E0,1.943857727E0,8.727151794E0
1.384525001E-1,-3.651207275E0,2.302511902E0,9.026978302E0
1.484535001E-1,-3.710334320E0,2.497256927E0,9.110504608E0
1.584554999E-1,-3.530707855E0,2.196981354E0,9.057963867E0
1.684564999E-1,-3.521576843E0,1.892065430E0,9.111402740E0
1.784574999E-1,-3.537892914E0,1.786085815E0,9.180109863E0
1.884585000E-1,-3.473676453E0,1.608554993E0,8.792416077E0
1.984604998E-1,-3.455713806E0,1.537303162E0,8.327632599E0
2.084614998E-1,-3.563190308E0,1.558858337E0,8.343649292E0
2.184624998E-1,-3.630101166E0,1.191372528E0,9.038953400E0
2.284645000E-1,-3.298840027E0,9.610015869E-1,9.382938080E0
2.384655001E-1,-2.684667206E0,1.020278320E0,8.719218292E0
2.484665001E-1,-2.546953583E0,1.070723419E0,8.615184631E0
2.584684999E-1,-2.133064270E0,8.443940735E-1,8.657396851E0
2.684694999E-1,-7.788304138E-1,-9.235794067E-2,7.567064209E0
2.784704999E-1,-4.493655396E-1,-8.195457458E-1,6.067632294E0
2.884724997E-1,-1.010398865E-1,2.321672058E-1,6.466552734E0
2.984734997E-1,9.463320923E-1,1.194815369E0,6.979086914E0
3.084744997E-1,-3.685336304E-1,8.825646973E-1,7.012766876E0
3.184765000E-1,1.960622864E0,-2.356250153E0,8.337362366E0
3.284775000E-1,5.087769928E0,-3.655398560E0,6.731651459E0
3.384785000E-1,7.899073792E0,-2.234702911E0,5.368735657E0
3.484795000E-1,1.124401794E1,-2.841840363E0,5.121300201E0
3.584814998E-1,9.117839355E0,-6.180198212E0,7.317533112E0
3.684824998E-1,5.439239044E0,-8.637637939E0,7.520361328E0
3.784834999E-1,2.176024933E0,-8.866961060E0,6.624624023E0
3.884855001E-1,5.580395508E-1,-7.988138580E0,6.421197052E0
3.984864997E-1,9.249266052E-1,-7.324418793E0,5.719905396E0
4.084874997E-1,2.030976563E0,-7.575746155E0,5.079986115E0
4.184894999E-1,2.683020630E0,-8.652606812E0,4.161047058E0
4.284905000E-1,2.750081177E0,-1.011536499E1,2.408042450E0
4.384915000E-1,2.047592010E0,-1.067969147E1,1.156195679E0
