"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.987499418E-4,-5.909710693E-1,5.078339539E0,8.150550842E0
9.864250082E-3,-1.113235016E0,5.078339539E0,5.660029907E0
1.992725010E-2,-1.966460724E0,5.571264496E0,3.997736664E0
2.999025001E-2,-2.218237152E0,6.259682922E0,3.818559265E0
4.005337507E-2,-1.828298035E0,6.577921143E0,4.960534515E0
5.011637509E-2,-1.302591248E0,6.516548767E0,6.105054474E0
6.018037500E-2,-9.250762939E-1,6.328090668E0,6.879394226E0
7.024337503E-2,-6.728507996E-1,6.125412140E0,7.829169159E0
8.030637505E-2,-5.971083069E-1,5.951024780E0,9.201215973E0
9.036937507E-2,-6.662644958E-1,5.678441620E0,1.082144669E1
1.004323751E-1,-7.102729797E-1,5.048102417E0,1.175730057E1
1.104953750E-1,-7.755372620E-1,4.082909546E0,1.156704620E1
1.205583750E-1,-9.132508850E-1,3.199895782E0,1.076067307E1
1.306213751E-1,-9.223818970E-1,2.706671448E0,9.719887390E0
1.406843751E-1,-1.043779449E0,2.706521759E0,8.674461365E0
1.507473751E-1,-1.421893158E0,2.861299896E0,7.468868408E0
1.608103750E-1,-1.827100525E0,3.075803833E0,6.393055573E0
1.708733750E-1,-2.105222168E0,3.464096375E0,5.774242401E0
1.809363751E-1,-2.314786377E0,3.954925690E0,5.800138550E0
1.909993751E-1,-2.358794861E0,4.380640411E0,6.226302338E0
2.010623751E-1,-2.369422760E0,4.568799133E0,6.745722198E0
2.111253750E-1,-2.254012756E0,4.619693298E0,7.417076111E0
2.211883750E-1,-2.130669250E0,4.572840729E0,8.068521423E0
2.312513751E-1,-2.024390259E0,4.437073059E0,8.647667084E0
2.413143751E-1,-2.060315552E0,4.318519592E0,9.233997803E0
2.513773751E-1,-1.972448273E0,4.257446594E0,9.913285217E0
2.614403750E-1,-2.007026367E0,4.093986511E0,1.062595322E1
2.715033750E-1,-2.389031982E0,3.726051636E0,1.104822510E1
2.815663751E-1,-2.715353394E0,3.645519104E0,1.114282837E1
2.916293751E-1,-2.831511841E0,3.585194550E0,1.108489883E1
3.016923751E-1,-3.094365234E0,3.267854462E0,1.023032593E1
3.117553750E-1,-3.678151245E0,2.982398071E0,8.410260773E0
3.218193750E-1,-4.523293762E0,2.258952484E0,6.123915253E0
3.318823751E-1,-4.877307587E0,2.357896729E0,5.364993439E0
3.419453751E-1,-4.653822327E0,2.995420990E0,5.705235901E0
3.520083751E-1,-4.542154541E0,3.385360107E0,5.426665192E0
3.620713750E-1,-4.310735779E0,3.141367493E0,4.492906952E0
3.721343750E-1,-4.271667023E0,1.672023010E0,4.182302856E0
3.821973751E-1,-4.345463562E0,5.840853882E-1,5.361999664E0
3.922603751E-1,-3.889511719E0,-2.415975952E-1,7.786807251E0
4.023233750E-1,-3.347488861E0,-3.866459656E-1,1.183364182E1
4.123863750E-1,-2.304757233E0,-5.879772949E-1,1.332169739E1
4.224493750E-1,-5.692662048E-1,-1.260379028E-1,1.223690323E1
4.325123751E-1,4.225712585E-1,4.204756165E-1,1.107711502E1
4.425753751E-1,5.977070618E-1,7.538323975E-1,9.925559692E0
4.526383750E-1,2.180964661E-1,6.134243774E-1,9.367220764E0
4.627013750E-1,-5.998027039E-1,3.067121887E-1,9.859397278E0
4.727643750E-1,-1.195863190E0,-4.601431274E-1,1.035202286E1
4.828273751E-1,-1.767823792E0,-1.506766663E0,1.025203079E1
4.928903751E-1,-3.502266998E0,-2.491419067E0,7.964936829E0
5.029533750E-1,-4.526736603E0,-3.219804382E0,9.147028656E0
5.130163750E-1,-3.244353333E0,-3.655847626E0,8.148604889E0
5.230793750E-1,-1.149309998E0,-3.542533264E0,7.000941467E0
5.331423751E-1,8.879534912E-1,-2.574945374E0,7.239694977E0
5.432053751E-1,3.428171082E0,-8.626560974E-1,7.661817169E0
5.532683750E-1,5.265450439E0,1.284927979E0,8.137228546E0
5.633313750E-1,5.302124176E0,3.307671661E0,7.726183319E0
5.733943750E-1,4.440366211E0,4.634213104E0,6.829547882E0
5.834583751E-1,3.543581085E0,4.391268311E0,4.693340149E0
5.935213751E-1,3.482508087E0,4.006268921E0,3.499422913E0
6.035843750E-1,4.786745911E0,3.246448975E0,3.188070374E0
6.136473750E-1,5.817203064E0,2.114502869E0,4.493505707E0
6.237103750E-1,6.307433624E0,1.098715210E0,5.836363220E0
6.337733751E-1,6.693929901E0,8.675958252E-1,5.888754272E0
6.438363751E-1,6.552174683E0,1.125210114E0,5.349725189E0
6.538993750E-1,5.994733887E0,1.252595215E0,4.749922485E0
6.639623750E-1,5.439688110E0,1.087638245E0,4.382137299E0
6.740253750E-1,5.607489166E0,1.070124664E0,3.914210358E0
6.840883751E-1,6.396797791E0,1.379231873E0,4.335135040E0
6.941513751E-1,7.285799103E0,1.761836243E0,6.031856689E0
7.042143750E-1,8.426127777E0,2.054926758E0,7.556585999E0
7.142773750E-1,9.603579254E0,2.283501434E0,7.461084595E0
7.243403750E-1,1.011776001E1,2.469265137E0,7.095395050E0
7.344033751E-1,1.008647507E1,2.636018372E0,7.153923340E0
7.444663751E-1,1.071441925E1,3.155587921E0,8.413703613E0
7.545293750E-1,1.144355301E1,3.590283966E0,9.464518433E0
7.645923750E-1,1.142259659E1,3.151097260E0,8.691076813E0
7.746553750E-1,1.080498093E1,2.261048126E0,5.764512634E0
7.847193751E-1,9.622440033E0,1.287622375E0,2.604134674E0
7.947823751E-1,8.218060455E0,2.547702026E-1,1.155896301E0
8.048453750E-1,7.876470795E0,-2.342628479E-1,6.361770630E-1
8.149083750E-1,8.938661957E0,2.630030823E-1,5.328918457E-1
8.249713751E-1,9.763895874E0,7.349716187E-1,5.789959717E-1
8.350343751E-1,1.002689896E1,3.966751099E-1,1.066083069E0
8.450973751E-1,1.033750305E1,2.065704346E-2,2.058369598E0
8.551603750E-1,1.054841446E1,1.413061523E-1,2.845582581E0
8.652233750E-1,1.008168503E1,-1.005908203E-1,2.805765381E0
8.752863751E-1,9.427844696E0,-8.722361755E-1,2.616858215E0
8.853493751E-1,9.048383789E0,-1.771566010E0,2.713856506E0
8.954123751E-1,8.804989929E0,-2.285896454E0,2.853366394E0
9.054753750E-1,8.714128876E0,-2.638413391E0,3.187321930E0
9.155383750E-1,8.611891479E0,-3.063080292E0,3.408112793E0
9.256013751E-1,8.480315094E0,-4.007765808E0,3.766617279E0
9.356643751E-1,9.147477722E0,-4.081712036E0,3.792214050E0
9.457283750E-1,9.494456177E0,-3.664828949E0,3.836671600E0
9.557913750E-1,9.643695831E0,-3.306025085E0,4.186793518E0
9.658543750E-1,9.676178284E0,-3.489244080E0,4.426894226E0
9.759173751E-1,9.438622284E0,-4.304299164E0,4.439917145E0
9.859803751E-1,8.905281372E0,-5.621709595E0,4.680466919E0
9.960433750E-1,8.239915009E0,-6.526577911E0,5.030139771E0
1.006106375E0,8.163424072E0,-6.956034851E0,4.829706573E0
1.016169375E0,8.985364838E0,-6.928791504E0,5.067262573E0
1.026232375E0,1.014230896E1,-6.396348724E0,5.635331268E0
1.036295375E0,1.103340591E1,-5.872438202E0,5.908213806E0
1.046358750E0,1.153231842E1,-5.738915863E0,5.584287415E0
1.056421750E0,1.193707672E1,-5.805227966E0,5.064867554E0
1.066484750E0,1.257849289E1,-5.687722321E0,4.931195526E0
1.076547750E0,1.325553497E1,-5.391638031E0,4.905898132E0
1.086610750E0,1.362406860E1,-5.467979279E0,5.019511871E0
1.096673750E0,1.415291885E1,-5.583538971E0,5.211861877E0
1.106736750E0,1.463746124E1,-5.718857574E0,5.344037018E0
1.116800750E0,1.446247513E1,-5.763015747E0,5.548362122E0
1.126863750E0,1.405502243E1,-5.676645355E0,5.023254089E0
1.136926750E0,1.379471375E1,-5.836512909E0,3.889362030E0
1.146989750E0,1.378603180E1,-5.983656921E0,3.029550018E0
1.157052750E0,1.433000061E1,-5.726940765E0,2.654579773E0
1.167115750E0,1.525447815E1,-4.890629883E0,2.688409424E0
1.177178750E0,1.608240646E1,-3.759432220E0,3.091820526E0
1.187241750E0,1.655003403E1,-2.709665222E0,3.482807465E0
1.197304750E0,1.645228729E1,-2.024390259E0,3.548520813E0
1.207367750E0,1.570309525E1,-1.968256989E0,3.422183533E0
1.217430750E0,1.473176514E1,-2.426454163E0,3.230731659E0
1.227493750E0,1.358305389E1,-2.953208771E0,2.926115112E0
1.237556750E0,1.264675095E1,-3.084336090E0,2.734663239E0
1.247619750E0,1.216669922E1,-2.936144257E0,2.390977936E0
1.257682750E0,1.217104019E1,-2.813998260E0,1.766925659E0
1.267745750E0,1.307126816E1,-2.962040405E0,1.325792999E0
1.277808750E0,1.176957504E1,-2.252964935E0,1.137783966E0
1.287872750E0,1.021086639E1,-1.222358093E0,6.215075684E-1
1.297935750E0,9.431736603E0,-8.259823608E-1,-7.843688965E-2
1.307998750E0,8.632548523E0,-1.130598907E0,-8.578660583E-1
1.318061750E0,8.140821075E0,-1.640588379E0,-2.129322052E0
1.328124750E0,8.204738159E0,-2.002984772E0,-2.495310974E0
1.338187750E0,8.489895172E0,-2.359992371E0,-2.285447388E0
1.348250750E0,7.922724609E0,-3.307072906E0,-2.073338470E0
1.358313750E0,6.706204376E0,-4.558171234E0,-1.898651733E0
1.368376750E0,6.648873596E0,-4.758155365E0,-1.415306854E0
1.378439750E0,7.337890778E0,-4.281247101E0,-8.593629456E-1
1.388502750E0,8.078550568E0,-3.467239838E0,-4.293072510E-1
1.398565750E0,8.385562134E0,-3.294648743E0,6.749464417E-1
1.408628750E0,1.051204010E1,-2.293979645E0,8.473878479E-1
1.418691750E0,1.097173416E1,-1.854343872E0,2.151026917E-1
1.428754750E0,9.982291718E0,-2.714006195E0,-4.041595459E-1
1.438817750E0,9.229207764E0,-3.882027283E0,-4.640350342E-1
1.448880750E0,8.092770996E0,-5.335953827E0,5.852828979E-2
1.458943750E0,7.432494049E0,-6.222859497E0,6.105802917E-1
1.469007750E0,7.482190704E0,-6.375092926E0,1.444795532E0
1.479070750E0,8.242010651E0,-6.254443817E0,2.484982452E0
1.489133750E0,9.175319824E0,-6.133794708E0,3.016676788E0
1.499196750E0,9.571096802E0,-5.943240967E0,2.599344635E0
1.509259750E0,9.550140381E0,-5.645510101E0,1.926643524E0
1.519322750E0,9.428892517E0,-5.715863800E0,1.779948578E0
1.529385750E0,9.513766022E0,-5.379662933E0,1.549577637E0
1.539448750E0,9.511969757E0,-4.801714783E0,1.215622101E0
1.549511750E0,9.399104462E0,-5.244344330E0,8.683442688E-1
1.559574750E0,1.036534515E1,-5.098547516E0,1.780247955E0
1.569637750E0,1.069346283E1,-6.484814758E0,2.771037598E0
1.579700750E0,1.065828598E1,-6.543941803E0,2.799927521E0
1.589763750E0,9.996212769E0,-5.363945618E0,4.375550995E0
1.599826750E0,9.723479919E0,-4.940476227E0,3.826193390E0
1.609889750E0,7.583679657E0,-7.151827698E0,6.872209167E-1
1.619952750E0,6.758296051E0,-7.837851105E0,-4.592449951E-1
1.630015750E0,7.101382599E0,-7.443271637E0,-4.724176025E-1
1.640078750E0,8.557554474E0,-6.083050232E0,7.824229431E-1
1.650141750E0,9.738897858E0,-5.934708710E0,1.600172424E0
1.660205750E0,1.067026108E1,-5.215454407E0,2.361189880E0
1.670268750E0,1.001103195E1,-4.644092560E0,1.869312744E0
1.680331750E0,9.526339874E0,-2.377655640E0,2.840792542E0
1.690394750E0,9.541159058E0,-3.403472443E0,2.396217041E0
1.700457750E0,8.622968445E0,-4.159999237E0,1.912423096E0
1.710520750E0,7.849975891E0,-4.291875000E0,2.084714813E0
1.720583750E0,7.513924713E0,-4.097129974E0,2.438578949E0
1.730646750E0,7.321874084E0,-3.926335144E0,2.062860260E0
1.740709750E0,6.772666168E0,-3.590433655E0,1.071172485E0
1.750772750E0,6.096073151E0,-3.850442963E0,4.288581848E-1
1.760835750E0,5.422174530E0,-4.788093109E0,4.984634399E-1
1.770898750E0,4.493206329E0,-5.602100372E0,1.018032990E0
1.780961750E0,4.320615234E0,-5.401966553E0,1.038240967E0
