"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.698333003E-3,-3.213218079E0,4.410877533E0,6.100563812E0
1.269933302E-2,-3.233126678E0,4.527784424E0,7.063361664E0
2.270133328E-2,-3.206482086E0,4.590204620E0,7.599247284E0
3.270233329E-2,-3.306324463E0,4.694387970E0,7.343578949E0
4.270433309E-2,-3.455414429E0,4.759951630E0,6.615792389E0
5.270533310E-2,-3.279829559E0,4.675078125E0,5.803880768E0
6.270733336E-2,-2.904859314E0,4.684059448E0,5.452561340E0
7.270933315E-2,-2.517165527E0,4.752317505E0,5.903274078E0
8.271033317E-2,-2.102976837E0,4.739294586E0,6.785240021E0
9.271233296E-2,-1.540746002E0,4.718038788E0,7.846533051E0
1.027133330E-1,-1.471889191E0,4.625082092E0,8.622070312E0
1.127153332E-1,-1.701362000E0,4.477189636E0,8.795110474E0
1.227163333E-1,-1.860181732E0,4.470902710E0,8.612639923E0
1.327183330E-1,-1.970053253E0,4.571942596E0,8.430618439E0
1.427193331E-1,-1.830094299E0,4.535268860E0,8.220904541E0
1.527213333E-1,-1.539847870E0,4.245172119E0,8.325986023E0
1.627233331E-1,-1.094523926E0,3.906576233E0,8.618627472E0
1.727243331E-1,-6.038442993E-1,3.531306610E0,8.805738373E0
1.827263334E-1,-4.888833618E-1,3.185825043E0,8.603808289E0
1.927273334E-1,-1.014889526E0,2.886746979E0,8.048912201E0
2.027293332E-1,-1.888622589E0,2.570754089E0,7.730075226E0
2.127303332E-1,-2.153871002E0,1.318607941E0,6.372548218E0
2.227323330E-1,-1.152603149E0,2.132615204E0,6.841073914E0
2.327343333E-1,1.815424805E0,5.698948975E0,7.693850555E0
2.427353333E-1,3.839365997E0,6.654711456E0,6.719676361E0
2.527373331E-1,3.225941620E0,5.887107697E0,7.389234009E0
2.627383331E-1,1.625769196E0,4.259691925E0,8.417445831E0
2.727403333E-1,-8.726852417E-2,3.354224854E0,1.088251968E1
2.827413334E-1,-2.256258087E0,2.996618500E0,1.404963364E1
2.927433331E-1,-2.786006470E0,1.517394562E0,1.077384567E1
3.027453334E-1,-1.285826111E-1,2.092798004E0,8.694220276E0
3.127463330E-1,6.029461670E-1,3.197351074E0,8.480315094E0
3.227483332E-1,-1.706900482E0,3.472928009E0,7.088659058E0
3.327493332E-1,-5.048102417E0,3.008144531E0,4.258943481E0
3.427513330E-1,-2.968626709E0,1.961071930E0,3.964805145E0
3.527523330E-1,-9.834548950E-2,1.075064392E0,7.469467163E0
3.627543333E-1,1.306782532E-1,2.348616028E0,1.106334366E1
3.727553333E-1,1.901046753E-2,2.719993744E0,1.414274002E1
3.827573331E-1,1.675166473E0,2.824775848E0,1.503847733E1
3.927593334E-1,2.291135559E0,4.655618591E0,1.454255859E1
4.027603334E-1,2.548600159E0,7.066355438E0,1.230576004E1
4.127623332E-1,3.617976379E0,9.927505646E0,9.967173157E0
4.227633332E-1,2.793640594E0,9.021439819E0,9.854307861E0
4.327653330E-1,1.823657684E0,6.403234406E0,9.559870148E0
4.427663330E-1,2.369572449E-1,4.133055267E0,8.447832642E0
4.527683333E-1,-2.727328491E-1,3.154989166E0,8.339757385E0
4.627693333E-1,6.008505249E-1,3.626358948E0,8.326884155E0
4.727713331E-1,1.537901917E0,4.808450775E0,8.680299225E0
4.827733333E-1,3.000510406E0,6.179599457E0,9.480385437E0
4.927743333E-1,3.935166779E0,7.279811554E0,1.030322433E1
5.027763331E-1,3.176244965E0,7.281907196E0,1.029783554E1
5.127773331E-1,2.197580109E0,5.578898621E0,1.085452789E1
5.227793334E-1,1.136436768E0,3.553310852E0,1.074241104E1
5.327803330E-1,-6.304888916E-1,2.710413666E0,7.962092743E0
5.427823332E-1,-1.914518738E-1,2.323019257E0,7.495063934E0
5.527843330E-1,-1.709445190E-1,2.161056061E0,7.667056274E0
5.627853330E-1,-1.642085266E-1,2.116598511E0,5.113217010E0
5.727873333E-1,3.132984924E-1,2.930755463E0,3.509002991E0
5.827883333E-1,3.004252625E-1,3.873495026E0,2.711162109E0
5.927903331E-1,2.290237427E-1,3.449127502E0,1.642384644E0
6.027913331E-1,9.692344666E-1,1.449884949E0,8.647517395E-1
6.127933334E-1,4.899311829E-1,1.896556091E-1,-1.243913269E-1
6.227953332E-1,-2.226470032E0,1.311273193E0,1.319805450E0
6.327963332E-1,-2.600542145E0,1.242865448E0,2.113754425E0
6.427983330E-1,-1.234632568E0,-3.228785706E-1,1.229842529E0
6.527993330E-1,1.559756470E-1,-1.826501770E0,3.311114502E-1
6.628013332E-1,-8.864566040E-1,-1.943857727E0,-9.310638428E-2
6.728023333E-1,-1.555714874E0,-1.611399078E0,-4.733157349E-1
6.828043330E-1,-1.666035461E-1,-2.581232300E0,-8.469387817E-1
6.928053331E-1,1.339564362E0,-3.955075378E0,-6.227050781E-1
7.028073333E-1,2.082020416E0,-4.858596497E0,-3.855981445E-1
7.128093331E-1,2.681972809E0,-5.421126709E0,-3.829037476E-1
7.228103331E-1,3.215014343E0,-6.305787048E0,-4.514611816E-1
7.328123334E-1,3.978277130E0,-7.470514984E0,-1.763333130E-1
7.428133334E-1,4.482428741E0,-8.904981995E0,6.810836792E-2
